Ensembl gene ID,Description_Clarke.et.al._2
ENSOARG00000001286,prostaglandin E synthase 2
ENSOARG00000001288,"GTPase, IMAP family member 5"
ENSOARG00000001292,vomeronasal type-1 receptor 90-like
ENSOARG00000001293,olfactory receptor 2F1-like
ENSOARG00000001294,gap junction epsilon-1 protein
ENSOARG00000001298,LOW QUALITY PROTEIN: putative spermatogenesis-associated protein 31D4
ENSOARG00000001303,
ENSOARG00000001304,LOW QUALITY PROTEIN: NKG2D ligand 1-like
ENSOARG00000001310,junctional sarcoplasmic reticulum protein 1
ENSOARG00000001312,
ENSOARG00000001314,zinc finger protein 628
ENSOARG00000001315,solute carrier family 22 member 10
ENSOARG00000001318,LOW QUALITY PROTEIN: GTPase IMAP family member 4-like
ENSOARG00000001321,
ENSOARG00000001323,T-cell receptor beta chain V region C5
ENSOARG00000001324,actin-85C-like
ENSOARG00000001327,olfactory receptor 2F1-like
ENSOARG00000001329,NKG2D ligand 4
ENSOARG00000001331,TPA: hypothetical protein BOS_4664
ENSOARG00000001334,antigen WC1.1-like
ENSOARG00000001335,
ENSOARG00000001339,podocalyxin-like
ENSOARG00000001341,endogenous retrovirus group K member 18 Pol protein-like
ENSOARG00000001344,zinc finger protein 347-like
ENSOARG00000001347,hyaluronidase PH-20-like
ENSOARG00000001350,T-cell receptor alpha chain V region HPB-MLT
ENSOARG00000001351,
ENSOARG00000001353,
ENSOARG00000001355,transcription factor MafB
ENSOARG00000001357,cytochrome P450 4F6-like
ENSOARG00000001358,
ENSOARG00000001361,junctional sarcoplasmic reticulum protein 1
ENSOARG00000001362,vomeronasal type-1 receptor 90-like
ENSOARG00000001363,LOW QUALITY PROTEIN: zinc finger protein 213
ENSOARG00000001364,
ENSOARG00000001365,GTPase IMAP family member 4-like
ENSOARG00000001367,
ENSOARG00000001368,dedicator of cytokinesis protein 11
ENSOARG00000001372,multidrug resistance-associated protein 4-like
ENSOARG00000001373,
ENSOARG00000001375,
ENSOARG00000001376,uncharacterized protein LOC101120797
ENSOARG00000001377,"Chain A, The Human Nucleosome Structure"
ENSOARG00000001380,multidrug resistance-associated protein 4-like
ENSOARG00000001382,ribosomal protein L9
ENSOARG00000001385,uncharacterized protein LOC105616630
ENSOARG00000001387,zinc finger protein 91-like
ENSOARG00000001388,
ENSOARG00000001389,tumor necrosis factor alpha-induced protein 2
ENSOARG00000001391,TPA: uncharacterized serine/threonine-protein kinase SgK494-like
ENSOARG00000001393,GTPase IMAP family member 8-like
ENSOARG00000001402,LOW QUALITY PROTEIN: ZBED6 C-terminal-like protein
ENSOARG00000001403,
ENSOARG00000001404,multidrug resistance-associated protein 4-like
ENSOARG00000001406,topoisomerase (DNA) I
ENSOARG00000001407,apical endosomal glycoprotein
ENSOARG00000001412,GTPase IMAP family member 1-like
ENSOARG00000001413,mast cell protease 2
ENSOARG00000001416,60S ribosomal protein L37a-like
ENSOARG00000001418,uncharacterized protein LOC105733627
ENSOARG00000001419,"TPX2, microtubule nucleation factor"
ENSOARG00000001420,immunoglobulin lambda-6d light chain variable region
ENSOARG00000001425,male-enhanced antigen 1
ENSOARG00000001429,
ENSOARG00000001431,cAMP-regulated phosphoprotein 19
ENSOARG00000001433,endogenous retrovirus group K member 25 Env polyprotein-like
ENSOARG00000001434,
ENSOARG00000001435,olfactory receptor 2S2-like
ENSOARG00000001437,GTPase IMAP family member 4-like
ENSOARG00000001444,MLL/hCDCrel fusion protein
ENSOARG00000001445,LOW QUALITY PROTEIN: protein FAM71E2
ENSOARG00000001449,immunoglobulin superfamily DCC subclass member 3
ENSOARG00000001450,antigen WC1.1-like
ENSOARG00000001451,phylloquinone omega-hydroxylase CYP4F2-like
ENSOARG00000001453,
ENSOARG00000001454,"cysteine--tRNA ligase, cytoplasmic"
ENSOARG00000001459,antigen WC1.1-like
ENSOARG00000001462,secretion regulating guanine nucleotide exchange factor
ENSOARG00000001463,"BMI1 proto-oncogene, polycomb ring finger"
ENSOARG00000001465,"GTPase, IMAP family member 7"
ENSOARG00000001467,olfactory receptor family 5 subfamily K member 1
ENSOARG00000001471,tumor necrosis factor receptor superfamily member 10A-like
ENSOARG00000001475,multidrug resistance protein 1-like
ENSOARG00000001476,electron transfer flavoprotein alpha subunit
ENSOARG00000001479,Eukaryotic translation initiation factor 5A-1
ENSOARG00000001481,
ENSOARG00000001482,
ENSOARG00000001484,LOW QUALITY PROTEIN: pregnancy-associated glycoprotein 1-like
ENSOARG00000001492,GTPase IMAP family member 4-like
ENSOARG00000001493,
ENSOARG00000001494,Gag-Pro-Pol-Env protein
ENSOARG00000001495,lymphocyte antigen 6I-like
ENSOARG00000001501,olfactory receptor family 5 subfamily H member 2
ENSOARG00000001502,antizyme inhibitor 2-like
ENSOARG00000001503,OR2Z1
ENSOARG00000001514,60S ribosomal protein L10-like
ENSOARG00000001517,scavenger receptor class B member 2
ENSOARG00000001520,zinc finger protein 616-like
ENSOARG00000001521,TNF receptor-associated factor 2
ENSOARG00000001524,zinc finger protein 160-like
ENSOARG00000001526,Olfactory receptor 5H2
ENSOARG00000001535,guanylate-binding protein 4-like
ENSOARG00000001537,GTPase IMAP family member 4-like
ENSOARG00000001540,SH3 domain binding glutamate rich protein like 3
ENSOARG00000001543,multidrug resistance-associated protein 4-like
ENSOARG00000001547,endogenous retrovirus group K member 9 Pol protein-like
ENSOARG00000001549,LOW QUALITY PROTEIN: guanine nucleotide-binding protein subunit beta-5-like
ENSOARG00000001550,obscurin-like
ENSOARG00000001553,multidrug resistance-associated protein 4-like
ENSOARG00000001554,LOW QUALITY PROTEIN: fibulin-2
ENSOARG00000001562,olfactory receptor 5K3-like
ENSOARG00000001568,complement C4-A-like
ENSOARG00000001569,TPA: antigen WC1.1 precursor
ENSOARG00000001575,sialic acid-binding Ig-like lectin 14
ENSOARG00000001578,glucuronidase beta
ENSOARG00000001579,LOW QUALITY PROTEIN: GTPase IMAP family member 1
ENSOARG00000001580,
ENSOARG00000001581,
ENSOARG00000001582,"heat shock transcription factor, X-linked-like"
ENSOARG00000001583,hypoxanthine-guanine phosphoribosyltransferase
ENSOARG00000001586,endogenous retrovirus group K member 5 Gag polyprotein-like
ENSOARG00000001587,fibulin-2 isoform 2
ENSOARG00000001588,guanylate-binding protein 2-like
ENSOARG00000001589,
ENSOARG00000001592,phosphatidylcholine translocator ABCB4
ENSOARG00000001593,cilia- and flagella-associated protein 74
ENSOARG00000001594,multidrug resistance-associated protein 4-like
ENSOARG00000001596,rho GTPase-activating protein 20-like
ENSOARG00000001597,olfactory receptor family 5 subfamily K member 1
ENSOARG00000001601,LOW QUALITY PROTEIN: melanoma-associated antigen 10-like
ENSOARG00000001605,cathelicidin-3-like
ENSOARG00000001608,translocase of inner mitochondrial membrane 8 homolog A (yeast)
ENSOARG00000001609,
ENSOARG00000001610,CREB-regulated transcription coactivator 2
ENSOARG00000001612,hypothetical protein A6R68_11410
ENSOARG00000001614,LOW QUALITY PROTEIN: spermatogenesis-associated serine-rich protein 2-like
ENSOARG00000001618,
ENSOARG00000001622,zinc finger protein 263
ENSOARG00000001623,monoacylglycerol O-acyltransferase 2
ENSOARG00000001625,LOW QUALITY PROTEIN: endogenous retrovirus group K member 11 Pol protein-like
ENSOARG00000001628,
ENSOARG00000001629,zinc finger protein 98-like
ENSOARG00000001633,endogenous retrovirus group K member 18 Pol protein-like
ENSOARG00000001635,desert hedgehog
ENSOARG00000001638,
ENSOARG00000001640,desert hedgehog
ENSOARG00000001643,uncharacterized protein LOC102407417
ENSOARG00000001645,"GTPase, IMAP family member 5"
ENSOARG00000001648,LOW QUALITY PROTEIN: uncharacterized protein LOC105615865
ENSOARG00000001649,ly-6/neurotoxin-like protein 1
ENSOARG00000001652,RNF14
ENSOARG00000001655,40S ribosomal protein S3a
ENSOARG00000001657,T-cell surface glycoprotein CD1b-2 precursor
ENSOARG00000001658,
ENSOARG00000001661,uncharacterized protein LOC101111334
ENSOARG00000001664,armadillo repeat-containing X-linked protein 4
ENSOARG00000001669,LOW QUALITY PROTEIN: serpin B6-like
ENSOARG00000001670,
ENSOARG00000001671,zinc finger protein 75A-like
ENSOARG00000001672,endogenous retrovirus group K member 7 Env polyprotein-like
ENSOARG00000001673,secretion regulating guanine nucleotide exchange factor
ENSOARG00000001674,NKG2D ligand 4-like
ENSOARG00000001675,LTV1 ribosome biogenesis factor
ENSOARG00000001676,casein kinase I isoform alpha-like
ENSOARG00000001678,endogenous retrovirus group K member 18 Pol protein-like
ENSOARG00000001679,LOW QUALITY PROTEIN: mucin-5B-like
ENSOARG00000001681,synaptotagmin 2
ENSOARG00000001686,probable serine/threonine-protein kinase fhkB
ENSOARG00000001690,
ENSOARG00000001694,collectin-43
ENSOARG00000001696,
ENSOARG00000001698,LOW QUALITY PROTEIN: ubiquitin carboxyl-terminal hydrolase BAP1-like
ENSOARG00000001701,"BOLA class I histocompatibility antigen, alpha chain BL3-7"
ENSOARG00000001705,epididymal-specific lipocalin-5-like
ENSOARG00000001706,endogenous retrovirus group K member 6 Pro protein-like
ENSOARG00000001708,
ENSOARG00000001713,
ENSOARG00000001715,protein phosphatase 1 regulatory subunit 12B
ENSOARG00000001720,helicase SKI2W-like
ENSOARG00000001722,glucosamine-6-phosphate isomerase 1
ENSOARG00000001723,
ENSOARG00000001729,
ENSOARG00000001733,RBPJ-interacting and tubulin-associated protein
ENSOARG00000001736,hypothetical protein M91_18017
ENSOARG00000001737,solute carrier family 22 member 10
ENSOARG00000001740,
ENSOARG00000001751,
ENSOARG00000001755,complement C4
ENSOARG00000001764,hypothetical protein M91_03384
ENSOARG00000001768,
ENSOARG00000001769,
ENSOARG00000001773,UL16 binding protein 21
ENSOARG00000001774,plasma membrane calcium-transporting ATPase 4-like
ENSOARG00000001775,LOW QUALITY PROTEIN: probable tumor suppressor protein MN1
ENSOARG00000001776,NADH:ubiquinone oxidoreductase subunit B11
ENSOARG00000001778,oxysterol-binding protein-related protein 5
ENSOARG00000001780,
ENSOARG00000001781,BC035947 protein
ENSOARG00000001782,ski oncogene
ENSOARG00000001787,nuclear RNA export factor 2-like
ENSOARG00000001788,
ENSOARG00000001789,
ENSOARG00000001795,mortality factor 4 like 1
ENSOARG00000001797,T-cell receptor gamma chain V-J-C region (clone SFTG4) - sheep (fragment)
ENSOARG00000001799,"amine oxidase, copper containing 1"
ENSOARG00000001804,"dynein assembly factor 3, axonemal"
ENSOARG00000001805,putative killer cell immunoglobulin-like receptor like protein KIR3DP1
ENSOARG00000001807,potassium voltage-gated channel subfamily H member 2
ENSOARG00000001808,LOW QUALITY PROTEIN: multidrug resistance-associated protein 4-like
ENSOARG00000001815,interferon regulatory factor 4-like
ENSOARG00000001817,epididymal-specific lipocalin-6
ENSOARG00000001818,"Chain A, Crystal Structure Of Human Ptip Brct56-Gamma H2ax Complex"
ENSOARG00000001820,nuclear autoantigenic sperm protein
ENSOARG00000001824,MICAL-like protein 2
ENSOARG00000001826,cathelicidin-1 precursor
ENSOARG00000001833,
ENSOARG00000001834,feline leukemia virus subgroup C cellular receptor family member 2
ENSOARG00000001852,probable ergosterol biosynthetic protein 28
ENSOARG00000001853,pannexin-1
ENSOARG00000001856,phylloquinone omega-hydroxylase CYP4F2-like
ENSOARG00000001857,immunoglobulin omega chain-like
ENSOARG00000001858,zinc finger CCCH-type containing 11A
ENSOARG00000001859,
ENSOARG00000001866,
ENSOARG00000001867,feline leukemia virus subgroup C receptor-related protein 2-like
ENSOARG00000001868,spermatogenesis-associated protein 2-like protein
ENSOARG00000001871,LOW QUALITY PROTEIN: maestro heat-like repeat-containing protein family member 1
ENSOARG00000001876,apurinic/apyrimidinic endodeoxyribonuclease 1
ENSOARG00000001877,cullin 7
ENSOARG00000001878,complement C4
ENSOARG00000001879,rotatin
ENSOARG00000001880,kinesin light chain 1-like
ENSOARG00000001881,probable ergosterol biosynthetic protein 28
ENSOARG00000001886,LOW QUALITY PROTEIN: granzyme H-like
ENSOARG00000001891,mast cell protease 1A-like
ENSOARG00000001893,olfactory receptor 10AG1-like
ENSOARG00000001895,multidrug resistance-associated protein 4-like
ENSOARG00000001900,hypothetical protein M91_01777
ENSOARG00000001901,tectonin beta-propeller repeat containing 1
ENSOARG00000001904,fascin actin-bundling protein 3
ENSOARG00000001905,ribosomal protein S6
ENSOARG00000001907,immunoglobulin omega chain-like
ENSOARG00000001909,
ENSOARG00000001912,Ig lambda chain V-I region NIG-64
ENSOARG00000001915,maestro heat-like repeat family member 5
ENSOARG00000001917,putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8-like
ENSOARG00000001919,liprin-alpha-1-like
ENSOARG00000001920,solute carrier family 22 member 9
ENSOARG00000001921,LOW QUALITY PROTEIN: GTPase IMAP family member 6
ENSOARG00000001927,"protein phosphatase, Mg2+/Mn2+ dependent 1L"
ENSOARG00000001928,antigen WC1.1-like
ENSOARG00000001929,lipocalin-1-like
ENSOARG00000001931,putative killer cell immunoglobulin-like receptor-like protein KIR3DX1
ENSOARG00000001934,
ENSOARG00000001937,sushi repeat-containing protein SRPX2
ENSOARG00000001940,
ENSOARG00000001941,serpin B6
ENSOARG00000001943,glutamate ionotropic receptor NMDA type subunit 1
ENSOARG00000001944,hypothetical protein M91_16646
ENSOARG00000001945,coiled-coil domain-containing protein 85A-like
ENSOARG00000001948,uncharacterized protein LOC105613207
ENSOARG00000001950,hypothetical protein XENTR_v90006846mg
ENSOARG00000001953,glutamate ionotropic receptor NMDA type subunit 1
ENSOARG00000001954,Nucleosome assembly protein 1-like 1
ENSOARG00000001957,fatty acid desaturase 2-like protein FADS2P1
ENSOARG00000001959,LOW QUALITY PROTEIN: antigen WC1.1-like
ENSOARG00000001961,leucine-rich repeat LGI family member 4
ENSOARG00000001963,
ENSOARG00000001971,T-cell surface glycoprotein CD1b-2-like
ENSOARG00000001975,disintegrin and metalloproteinase domain-containing protein 5-like
ENSOARG00000001976,complement C4-like
ENSOARG00000001977,S-adenosylmethionine decarboxylase proenzyme-like isoform 3
ENSOARG00000001984,T-cell surface glycoprotein CD1b-2-like
ENSOARG00000001986,T-cell surface glycoprotein CD1b-2-like
ENSOARG00000001987,LOW QUALITY PROTEIN: transcription elongation factor A protein-like 6
ENSOARG00000001989,zinc finger protein 420-like
ENSOARG00000001993,
ENSOARG00000001995,
ENSOARG00000001997,ankyrin repeat domain-containing protein 26-like
ENSOARG00000001998,uncharacterized protein LOC101903477
ENSOARG00000001999,
ENSOARG00000002001,glycoprotein VI platelet
ENSOARG00000002002,epididymis-specific alpha-mannosidase-like
ENSOARG00000002003,
ENSOARG00000002004,ficolin-1
ENSOARG00000002006,zinc finger protein 337-like
ENSOARG00000002008,serpin A3-1-like
ENSOARG00000002011,adhesion G protein-coupled receptor L1
ENSOARG00000002012,protein FRG1
ENSOARG00000002013,multidrug resistance-associated protein 4-like
ENSOARG00000002014,GC-rich promoter binding protein 1 like 1
ENSOARG00000002016,
ENSOARG00000002019,small integral membrane protein 10-like
ENSOARG00000002020,"NACHT, LRR and PYD domains-containing protein 2"
ENSOARG00000002022,cytochrome P450 2C21-like
ENSOARG00000002024,transcription elongation factor A protein-like 4
ENSOARG00000002025,GC-rich promoter binding protein 1 like 1
ENSOARG00000002027,LOW QUALITY PROTEIN: cathelicidin-3-like
ENSOARG00000002028,uncharacterized protein C1orf43 homolog
ENSOARG00000002029,
ENSOARG00000002031,EXOC1
ENSOARG00000002032,agrin
ENSOARG00000002034,
ENSOARG00000002036,granulysin precursor
ENSOARG00000002041,reticulocalbin 3
ENSOARG00000002049,uncharacterized protein LOC102318068
ENSOARG00000002051,
ENSOARG00000002054,LOW QUALITY PROTEIN: antigen WC1.1-like
ENSOARG00000002058,myosin-6-like
ENSOARG00000002059,solute carrier family 22 member 9-like
ENSOARG00000002061,uridine phosphorylase 1-like
ENSOARG00000002062,centrosomal protein of 192 kDa
ENSOARG00000002064,multidrug resistance protein 1-like
ENSOARG00000002068,TPA: hCG2045904-like
ENSOARG00000002071,
ENSOARG00000002074,tubulin alpha chain
ENSOARG00000002076,GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1-like
ENSOARG00000002078,multidrug resistance-associated protein 4-like
ENSOARG00000002080,antigen WC1.1-like
ENSOARG00000002082,
ENSOARG00000002083,zinc finger protein 160-like
ENSOARG00000002086,PDZ and LIM domain protein 2-like
ENSOARG00000002089,TRA@ protein
ENSOARG00000002092,
ENSOARG00000002095,60S ribosomal protein L27a-like
ENSOARG00000002099,leukocyte immunoglobulin-like receptor subfamily A member 6
ENSOARG00000002100,
ENSOARG00000002102,putative killer cell immunoglobulin-like receptor-like protein KIR3DX1
ENSOARG00000002103,PRAME
ENSOARG00000002104,LOW QUALITY PROTEIN: G2 and S phase-expressed protein 1-like
ENSOARG00000002107,leukemia inhibitory factor receptor-like
ENSOARG00000002108,leukocyte immunoglobulin-like receptor subfamily A member 6
ENSOARG00000002109,putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8-like
ENSOARG00000002110,
ENSOARG00000002111,developmental pluripotency-associated protein 3
ENSOARG00000002112,
ENSOARG00000002113,
ENSOARG00000002116,probable palmitoyltransferase ZDHHC11B
ENSOARG00000002117,ankyrin repeat domain-containing protein 26-like
ENSOARG00000002120,"NACHT, LRR and PYD domains-containing protein 7"
ENSOARG00000002126,"solute carrier family 2, facilitated glucose transporter member 5"
ENSOARG00000002130,disintegrin and metalloproteinase domain-containing protein 18-like
ENSOARG00000002134,spermidine/spermine N1-acetyl transferase-like 1
ENSOARG00000002135,NKG2D ligand 1-like
ENSOARG00000002136,chromosome 10 open reading frame 53
ENSOARG00000002137,"steroid 17-alpha-hydroxylase/17,20 lyase"
ENSOARG00000002138,CAVP-target protein-like
ENSOARG00000002140,LOW QUALITY PROTEIN: NKG2D ligand 3-like
ENSOARG00000002143,GTPase IMAP family member 4-like
ENSOARG00000002148,ankyrin repeat domain-containing protein 26-like
ENSOARG00000002151,alcohol dehydrogenase class-2 isozyme 1-like
ENSOARG00000002152,T-cell receptor beta chain V region CTL-L17-like
ENSOARG00000002156,hypothetical protein M91_15193
